Maxx MX166,http://www.infibeam.com/Mobiles/i-Maxx-MX166-Yoyo-Dualsim-Mobile/P-E-M-Maxx-MX166.html,Maxx Yoyo MX166,M0087,Match,Code B-Tree Match
Maxx MX192,http://www.infibeam.com/Mobiles/i-Maxx-MX192-Tune-Dualsim-Mobile/P-E-M-Maxx-MX192.html,Maxx MX192 -Tune,M0088,Match,Code B-Tree Match
Maxx MX250,http://www.infibeam.com/Mobiles/i-Maxx-MX250-Dual-SIM-Mobile/P-E-M-Maxx-MX250.html,Maxx MX250,M0089,Match,Code B-Tree Match
Maxx MX349,http://www.infibeam.com/Mobiles/i-Maxx-MX349-Jazz-Dualsim-Phone/P-E-M-Maxx-MX349.html,Maxx MX349,M0090,Match,Code B-Tree Match
Maxx MX365,http://www.infibeam.com/Mobiles/i-Maxx-MX365-Dual-Sim-Mobile/P-E-M-Maxx-MX365.html,Maxx MX365,M0091,Match,Code B-Tree Match
Maxx MX372,http://www.infibeam.com/Mobiles/i-Maxx-MX372-Tiny-Dualsim-Mobile/P-E-M-Maxx-MX372.html,Maxx Tiny MX372,M0092,Match,Code B-Tree Match
Maxx MX388,http://www.infibeam.com/Mobiles/i-Maxx-MX388-Glo-Dualsim-Phone/P-E-M-Maxx-MX388.html,Maxx MX388,M0093,Match,Code B-Tree Match
Maxx MX469,http://www.infibeam.com/Mobiles/i-Maxx-MX469-Dual-Sim-Phone/P-E-M-Maxx-MX469.html,Maxx MX469,M0094,Match,Code B-Tree Match
Micromax A70,http://www.infibeam.com/Mobiles/i-Micromax-A70-Android-Mobile-Phone/P-E-M-Micromax-A70.html,Micromax A70,M0095,Match,Code B-Tree Match
Micromax A85 Superfone Dual Core Android Smartphone,http://www.infibeam.com/Mobiles/i-Micromax-A85-Android-Smartphone/P-E-M-Micromax-A85.html,,,No Match
Micromax Andro A60,http://www.infibeam.com/Mobiles/i-Micromax-Andro-A60-Android-Smartphone/P-E-M-Micromax-A60.html,Micromax Andro A60,M0097,Match,Code B-Tree Match
Micromax G4 Gamolution,http://www.infibeam.com/Mobiles/i-Micromax-G4-Gamolution-Dual-Sim/P-E-M-Micromax-G4.html,Micromax Gamolution G4,M0098,Match,Code B-Tree Match
Micromax GC256,http://www.infibeam.com/Mobiles/i-Micromax-GC256-Dual-SIM-Mobile/P-E-M-Micromax-GC256.html,Micromax GC256,M0099,Match,Code B-Tree Match
Micromax GC360,http://www.infibeam.com/Mobiles/i-Micromax-GC360-Dual-SIM-Mobile/P-E-M-Micromax-GC360.html,Micromax GC360,M0100,Match,Code B-Tree Match
Micromax M2,http://www.infibeam.com/Mobiles/i-Micromax-M2-Dual-SIM-Mobile/P-E-M-Micromax-M2.html,Micromax M2,M0101,Match,Code B-Tree Match
Micromax Q2,http://www.infibeam.com/Mobiles/i-Micromax-Q2-Ezpad/P-E-M-Micromax-Q2.html,Micromax Q2,M0102,Match,Code B-Tree Match
Micromax Q2+,http://www.infibeam.com/Mobiles/i-Micromax-Q2-Dual-Band-Bluetooth/P-E-M-Micromax-Q2Plus.html,Micromax Q2+,M0103,Match,Code B-Tree Match
Micromax Q3 Plus Ezpad,http://www.infibeam.com/Mobiles/i-Micromax-Q3-Plus-EZPAD-Smartphone/P-E-M-Micromax-Q3-Plus-Ezpad.html,Micromax Q3,M0104,Match,Code B-Tree Match
Micromax Q35,http://www.infibeam.com/Mobiles/i-Micromax-Q35-Qwerty-Mobile-Phone/P-E-M-Micromax-Q35.html,Micromax Q35,M0105,Match,Code B-Tree Match
Micromax Q50,http://www.infibeam.com/Mobiles/i-micromax-Q50-Ezpad-Qwerty-Mobile/P-E-M-Micromax-Q50.html,Micromax Q50,M0106,Match,Code B-Tree Match
Micromax Q55 Bling - Dual Sim,http://www.infibeam.com/Mobiles/i-Micromax-Q55-Bling-Dual-Sim/P-E-M-Micromax-Q55Bling.html,Micromax Q55 Bling (Limited IIFA Edition),M0301,Match,Code B-Tree Match
Micromax Q56,http://www.infibeam.com/Mobiles/i-Micromax-Q56-Slider-QWERTY-Mobile/P-E-M-Micromax-Q56.html,Micromax Q56,M0108,Match,Code B-Tree Match
